Persona,Total_Menciones,Paginas_con_Mencion,Cobertura_Pct,Indicador_Positivo,Indicador_Negativo,Indice_Sentimiento,Clasificacion_Sentimiento,Indice_Riesgo_Analítico,Evasiones_en_Paginas_con_Persona,Co_ocurrencias_con_Personas
Jeffrey Epstein,1744,936,18.62,508,931,-0.294,Negativo,516,325,Ghislaine Maxwell(200); Virginia Giuffre(41); Prince Andrew(61); Bill Clinton(30); Donald Trump(3)
Ghislaine Maxwell,1033,621,12.35,332,408,-0.103,Negativo,192,78,Jeffrey Epstein(200); Virginia Giuffre(73); Prince Andrew(36); Bill Clinton(22); Alan Dershowitz(36)
Virginia Giuffre,528,296,5.89,202,117,0.266,Neutral / Procedimental,42,22,Jeffrey Epstein(41); Ghislaine Maxwell(73); Prince Andrew(14); Bill Clinton(5); Alan Dershowitz(7)
Prince Andrew,396,174,3.46,107,180,-0.254,Negativo,94,83,Jeffrey Epstein(61); Ghislaine Maxwell(36); Virginia Giuffre(14); Bill Clinton(13); Donald Trump(2)
Alan Dershowitz,234,177,3.52,116,187,-0.234,Negativo,77,40,Jeffrey Epstein(59); Ghislaine Maxwell(36); Virginia Giuffre(7); Prince Andrew(26); Bill Clinton(15)
Bill Clinton,122,64,1.27,48,63,-0.135,Negativo,45,19,Jeffrey Epstein(30); Ghislaine Maxwell(22); Virginia Giuffre(5); Prince Andrew(13); Donald Trump(4)
Johanna Sjoberg,84,75,1.49,62,49,0.117,Neutral / Procedimental,33,13,Jeffrey Epstein(21); Ghislaine Maxwell(28); Virginia Giuffre(3); Prince Andrew(8); Annie Farmer(5)
Annie Farmer,68,25,0.5,16,29,-0.289,Negativo,14,7,Jeffrey Epstein(11); Ghislaine Maxwell(3); Virginia Giuffre(1); Prince Andrew(3); Johanna Sjoberg(5)
Al Gore,32,17,0.34,6,11,-0.294,Negativo,10,4,Jeffrey Epstein(4); Ghislaine Maxwell(1); Prince Andrew(4); Bill Clinton(5); Alan Dershowitz(4)
David Copperfield,19,12,0.24,8,15,-0.304,Altamente Negativo,10,10,Jeffrey Epstein(4); Ghislaine Maxwell(1); Prince Andrew(2); Alan Dershowitz(2); Kevin Spacey(2)
Donald Trump,15,10,0.2,7,8,-0.067,Negativo,5,4,Jeffrey Epstein(3); Prince Andrew(2); Bill Clinton(4); Alan Dershowitz(3)
Kevin Spacey,9,7,0.14,4,4,0.0,Neutral / Procedimental,2,3,Jeffrey Epstein(3); Prince Andrew(1); Alan Dershowitz(2); Al Gore(2); David Copperfield(2)
Leslie Wexner,8,6,0.12,6,8,-0.143,Negativo,3,3,Jeffrey Epstein(3); Ghislaine Maxwell(2); Prince Andrew(2)
Jean-Luc Brunel,6,3,0.06,1,8,-0.778,Altamente Negativo,4,5,Jeffrey Epstein(3); Ghislaine Maxwell(3)
Stephen Hawking,4,4,0.08,1,2,-0.333,Altamente Negativo,1,0,Jeffrey Epstein(4); Ghislaine Maxwell(1); Prince Andrew(1); Bill Clinton(3); Alan Dershowitz(1)
